HOG	OG	Gene Tree Parent Clade	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N30.HOG0000000	OG0000000	n0		AY521625.1_00091						HF920633.1_00044	HF920637.1_00129, HF920637.1_00164		KF938901.1_00126		L63545.1_00007	LS484712.1_00114	MF599468.1_00057, MF599468.1_00056										MN803438.1_00124						NC_005946.1_00010													
N30.HOG0000001	OG0000001	n0		AY521625.1_00064						HF920633.1_00073	HF920637.1_00143		KF938901.1_00044		L63545.1_00079	LS484712.1_00142	MF599468.1_00152										MN803438.1_00023						NC_005946.1_00091													
N30.HOG0000002	OG0000003	n0		AY521625.1_00077						HF920633.1_00069	HF920637.1_00059		KF938901.1_00080		L63545.1_00035	LS484712.1_00095	MF599468.1_00163										MN803438.1_00101, MN803438.1_00056						NC_005946.1_00053													
N30.HOG0000003	OG0000004	n0		AY521625.1_00130						HF920633.1_00127	HF920637.1_00159		KF938901.1_00005		L63545.1_00076	LS484712.1_00187	MF599468.1_00011										MN803438.1_00113						NC_005946.1_00057													
N30.HOG0000004	OG0000005	n0		AY521625.1_00085						HF920633.1_00043	HF920637.1_00176, HF920637.1_00175		KF938901.1_00067		L63545.1_00108	LS484712.1_00248	MF599468.1_00030										MN803438.1_00106						NC_005946.1_00095													
N30.HOG0000005	OG0000006	n0		AY521625.1_00051						HF920633.1_00025	HF920637.1_00121		KF938901.1_00072		L63545.1_00093	LS484712.1_00040	MF599468.1_00010										MN803438.1_00142						NC_005946.1_00042													
N30.HOG0000006	OG0000007	n0		AY521625.1_00016						HF920633.1_00091	HF920637.1_00172		KF938901.1_00053		L63545.1_00090	LS484712.1_00234, LS484712.1_00050	MF599468.1_00174										MN803438.1_00027						NC_005946.1_00002													
N30.HOG0000007	OG0000008	n0		AY521625.1_00069, AY521625.1_00070						HF920633.1_00079	HF920637.1_00025		KF938901.1_00043		L63545.1_00001		MF599468.1_00092										MN803438.1_00104						NC_005946.1_00028													
N30.HOG0000008	OG0000009	n0		AY521625.1_00142						HF920633.1_00122	HF920637.1_00153		KF938901.1_00114		L63545.1_00024	LS484712.1_00130	MF599468.1_00075										MN803438.1_00109						NC_005946.1_00092													
N30.HOG0000009	OG0000010	n0		AY521625.1_00054						HF920633.1_00097	HF920637.1_00041		KF938901.1_00124		L63545.1_00043	LS484712.1_00096	MF599468.1_00116										MN803438.1_00089						NC_005946.1_00038													
N30.HOG0000010	OG0000011	n0		AY521625.1_00110						HF920633.1_00001	HF920637.1_00001		KF938901.1_00054		L63545.1_00071	LS484712.1_00200	MF599468.1_00112										MN803438.1_00128						NC_005946.1_00060													
N30.HOG0000011	OG0000012	n0		AY521625.1_00074						HF920633.1_00080	HF920637.1_00031		KF938901.1_00047		L63545.1_00098	LS484712.1_00188	MF599468.1_00090										MN803438.1_00068						NC_005946.1_00083													
N30.HOG0000012	OG0000013	n0		AY521625.1_00059						HF920633.1_00158	HF920637.1_00073		KF938901.1_00123		L63545.1_00072	LS484712.1_00240	MF599468.1_00035										MN803438.1_00035						NC_005946.1_00087													
N30.HOG0000013	OG0000014	n0		AY521625.1_00065						HF920633.1_00175	HF920637.1_00213		KF938901.1_00023		L63545.1_00013	LS484712.1_00194	MF599468.1_00071										MN803438.1_00013						NC_005946.1_00061													
N30.HOG0000014	OG0000015	n0		AY521625.1_00048						HF920633.1_00067	HF920637.1_00017		KF938901.1_00060		L63545.1_00004	LS484712.1_00143	MF599468.1_00033										MN803438.1_00007						NC_005946.1_00022													
N30.HOG0000015	OG0000016	n0		AY521625.1_00053						HF920633.1_00118	HF920637.1_00217		KF938901.1_00092		L63545.1_00069	LS484712.1_00203	MF599468.1_00149										MN803438.1_00049						NC_005946.1_00011													
N30.HOG0000016	OG0000017	n0		AY521625.1_00086						HF920633.1_00163	HF920637.1_00197		KF938901.1_00012		L63545.1_00009	LS484712.1_00192	MF599468.1_00106										MN803438.1_00097						NC_005946.1_00094													
N30.HOG0000017	OG0000018	n0		AY521625.1_00073						HF920633.1_00094	HF920637.1_00079		KF938901.1_00046		L63545.1_00073	LS484712.1_00048	MF599468.1_00046										MN803438.1_00122						NC_005946.1_00082													
N30.HOG0000018	OG0000019	n0		AY521625.1_00047						HF920633.1_00003	HF920637.1_00111		KF938901.1_00025		L63545.1_00068	LS484712.1_00053	MF599468.1_00117										MN803438.1_00051						NC_005946.1_00023													
N30.HOG0000019	OG0000020	n0		AY521625.1_00115						HF920633.1_00138	HF920637.1_00108		KF938901.1_00074		L63545.1_00030	LS484712.1_00202	MF599468.1_00122										MN803438.1_00070						NC_005946.1_00016													
N30.HOG0000020	OG0000021	n0		AY521625.1_00035						HF920633.1_00058	HF920637.1_00152		KF938901.1_00095		L63545.1_00110	LS484712.1_00135	MF599468.1_00009										MN803438.1_00046						NC_005946.1_00021													
N30.HOG0000021	OG0000022	n0		AY521625.1_00062						HF920633.1_00017	HF920637.1_00033		KF938901.1_00031		L63545.1_00054	LS484712.1_00117	MF599468.1_00171										MN803438.1_00077						NC_005946.1_00089													
