HOG	OG	Gene Tree Parent Clade	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N40.HOG0000000	OG0000000	n0		AY521625.1_00091																													NC_005946.1_00010													
N40.HOG0000001	OG0000001	n0		AY521625.1_00064																													NC_005946.1_00091													
N40.HOG0000002	OG0000003	n0		AY521625.1_00077																													NC_005946.1_00053													
N40.HOG0000003	OG0000004	n0		AY521625.1_00130																													NC_005946.1_00057													
N40.HOG0000004	OG0000005	n0		AY521625.1_00085																													NC_005946.1_00095													
N40.HOG0000005	OG0000006	n0		AY521625.1_00051																													NC_005946.1_00042													
N40.HOG0000006	OG0000007	n0		AY521625.1_00016																													NC_005946.1_00002													
N40.HOG0000007	OG0000008	n0		AY521625.1_00069, AY521625.1_00070																													NC_005946.1_00028													
N40.HOG0000008	OG0000009	n0		AY521625.1_00142																													NC_005946.1_00092													
N40.HOG0000009	OG0000010	n0		AY521625.1_00054																													NC_005946.1_00038													
N40.HOG0000010	OG0000011	n0		AY521625.1_00110																													NC_005946.1_00060													
N40.HOG0000011	OG0000012	n0		AY521625.1_00074																													NC_005946.1_00083													
N40.HOG0000012	OG0000013	n0		AY521625.1_00059																													NC_005946.1_00087													
N40.HOG0000013	OG0000014	n0		AY521625.1_00065																													NC_005946.1_00061													
N40.HOG0000014	OG0000015	n0		AY521625.1_00048																													NC_005946.1_00022													
N40.HOG0000015	OG0000016	n0		AY521625.1_00053																													NC_005946.1_00011													
N40.HOG0000016	OG0000017	n0		AY521625.1_00086																													NC_005946.1_00094													
N40.HOG0000017	OG0000018	n0		AY521625.1_00073																													NC_005946.1_00082													
N40.HOG0000018	OG0000019	n0		AY521625.1_00047																													NC_005946.1_00023													
N40.HOG0000019	OG0000020	n0		AY521625.1_00115																													NC_005946.1_00016													
N40.HOG0000020	OG0000021	n0		AY521625.1_00035																													NC_005946.1_00021													
N40.HOG0000021	OG0000022	n0		AY521625.1_00062																													NC_005946.1_00089													
N40.HOG0000022	OG0000023	n0		AY521625.1_00100																													NC_005946.1_00014													
N40.HOG0000023	OG0000024	n0		AY521625.1_00060																													NC_005946.1_00086													
N40.HOG0000024	OG0000026	n0		AY521625.1_00022																													NC_005946.1_00049													
N40.HOG0000025	OG0000027	n0																															NC_005946.1_00085													
N40.HOG0000026	OG0000030	n0		AY521625.1_00004																																										
N40.HOG0000027	OG0000112	n0																															NC_005946.1_00006													
N40.HOG0000028	OG0000120	n10		AY521625.1_00036																													NC_005946.1_00020													
N40.HOG0000029	OG0000136	n0		AY521625.1_00046																																										
N40.HOG0000030	OG0000137	n0		AY521625.1_00098																													NC_005946.1_00001													
N40.HOG0000031	OG0000138	n0		AY521625.1_00102																													NC_005946.1_00079													
N40.HOG0000032	OG0000146	n0		AY521625.1_00002																													NC_005946.1_00052													
N40.HOG0000033	OG0000147	n0		AY521625.1_00042																													NC_005946.1_00067													
N40.HOG0000034	OG0000148	n0		AY521625.1_00056																													NC_005946.1_00039													
N40.HOG0000035	OG0000150	n0		AY521625.1_00003, AY521625.1_00078, AY521625.1_00079, AY521625.1_00127, AY521625.1_00080, AY521625.1_00081, AY521625.1_00082																																										
N40.HOG0000036	OG0000151	n0		AY521625.1_00018																													NC_005946.1_00044													
N40.HOG0000037	OG0000152	n0		AY521625.1_00025, AY521625.1_00026, AY521625.1_00029, AY521625.1_00033, AY521625.1_00027, AY521625.1_00030, AY521625.1_00032																																										
N40.HOG0000038	OG0000153	n0		AY521625.1_00126																													NC_005946.1_00075													
N40.HOG0000039	OG0000154	n0		AY521625.1_00133																													NC_005946.1_00054													
N40.HOG0000040	OG0000159	n0		AY521625.1_00005																													NC_005946.1_00026													
N40.HOG0000041	OG0000160	n0		AY521625.1_00011																													NC_005946.1_00033													
N40.HOG0000042	OG0000161	n0		AY521625.1_00044																													NC_005946.1_00063													
N40.HOG0000043	OG0000162	n0		AY521625.1_00140																													NC_005946.1_00029													
N40.HOG0000044	OG0000171	n0		AY521625.1_00066																													NC_005946.1_00062													
N40.HOG0000045	OG0000172	n0		AY521625.1_00076, AY521625.1_00106, AY521625.1_00107, AY521625.1_00108, AY521625.1_00109																																										
N40.HOG0000046	OG0000191	n0																															NC_005946.1_00007													
N40.HOG0000047	OG0000193	n0		AY521625.1_00023																													NC_005946.1_00051													
N40.HOG0000048	OG0000194	n0		AY521625.1_00057																																										
N40.HOG0000049	OG0000195	n0		AY521625.1_00061																													NC_005946.1_00088													
N40.HOG0000050	OG0000196	n0		AY521625.1_00094																													NC_005946.1_00096													
N40.HOG0000051	OG0000197	n0		AY521625.1_00116																													NC_005946.1_00015													
N40.HOG0000052	OG0000198	n0		AY521625.1_00128																													NC_005946.1_00073													
N40.HOG0000053	OG0000299	-		AY521625.1_00008																													NC_005946.1_00035													
N40.HOG0000054	OG0000300	-		AY521625.1_00013																													NC_005946.1_00005													
N40.HOG0000055	OG0000301	-		AY521625.1_00014																													NC_005946.1_00004													
N40.HOG0000056	OG0000302	-		AY521625.1_00015																													NC_005946.1_00003													
N40.HOG0000057	OG0000303	-		AY521625.1_00020																													NC_005946.1_00047													
N40.HOG0000058	OG0000304	-		AY521625.1_00039																													NC_005946.1_00018													
N40.HOG0000059	OG0000305	-		AY521625.1_00043																													NC_005946.1_00064													
N40.HOG0000060	OG0000306	-		AY521625.1_00052																													NC_005946.1_00012													
N40.HOG0000061	OG0000307	-		AY521625.1_00063																													NC_005946.1_00090													
N40.HOG0000062	OG0000308	-		AY521625.1_00068, AY521625.1_00088																																										
N40.HOG0000063	OG0000309	-		AY521625.1_00072																													NC_005946.1_00081													
N40.HOG0000064	OG0000310	-		AY521625.1_00075																													NC_005946.1_00084													
N40.HOG0000065	OG0000312	-		AY521625.1_00090																													NC_005946.1_00013													
N40.HOG0000066	OG0000314	-		AY521625.1_00104																													NC_005946.1_00080													
N40.HOG0000067	OG0000315	-		AY521625.1_00105																													NC_005946.1_00059													
N40.HOG0000068	OG0000316	-		AY521625.1_00113																													NC_005946.1_00017													
N40.HOG0000069	OG0000317	-		AY521625.1_00117																													NC_005946.1_00077													
N40.HOG0000070	OG0000318	-		AY521625.1_00118																													NC_005946.1_00076													
N40.HOG0000071	OG0000319	-		AY521625.1_00119																													NC_005946.1_00072													
N40.HOG0000072	OG0000320	-		AY521625.1_00123																													NC_005946.1_00069													
N40.HOG0000073	OG0000321	-		AY521625.1_00124, AY521625.1_00125																																										
N40.HOG0000074	OG0000322	-		AY521625.1_00131																													NC_005946.1_00056													
N40.HOG0000075	OG0000323	-		AY521625.1_00137																													NC_005946.1_00058													
N40.HOG0000076	OG0000431	-																															NC_005946.1_00025, NC_005946.1_00024													
