HOG	OG	Gene Tree Parent Clade	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N39.HOG0000000	OG0000000	n0													L63545.1_00007												MN803438.1_00124																			
N39.HOG0000001	OG0000001	n0													L63545.1_00079												MN803438.1_00023																			
N39.HOG0000002	OG0000003	n0													L63545.1_00035												MN803438.1_00101, MN803438.1_00056																			
N39.HOG0000003	OG0000004	n0													L63545.1_00076												MN803438.1_00113																			
N39.HOG0000004	OG0000005	n0													L63545.1_00108												MN803438.1_00106																			
N39.HOG0000005	OG0000006	n0													L63545.1_00093												MN803438.1_00142																			
N39.HOG0000006	OG0000007	n0													L63545.1_00090												MN803438.1_00027																			
N39.HOG0000007	OG0000008	n0													L63545.1_00001												MN803438.1_00104																			
N39.HOG0000008	OG0000009	n0													L63545.1_00024												MN803438.1_00109																			
N39.HOG0000009	OG0000010	n0													L63545.1_00043												MN803438.1_00089																			
N39.HOG0000010	OG0000011	n0													L63545.1_00071												MN803438.1_00128																			
N39.HOG0000011	OG0000012	n0													L63545.1_00098												MN803438.1_00068																			
N39.HOG0000012	OG0000013	n0													L63545.1_00072												MN803438.1_00035																			
N39.HOG0000013	OG0000014	n0													L63545.1_00013												MN803438.1_00013																			
N39.HOG0000014	OG0000015	n0													L63545.1_00004												MN803438.1_00007																			
N39.HOG0000015	OG0000016	n0													L63545.1_00069												MN803438.1_00049																			
N39.HOG0000016	OG0000017	n0													L63545.1_00009												MN803438.1_00097																			
N39.HOG0000017	OG0000018	n0													L63545.1_00073												MN803438.1_00122																			
N39.HOG0000018	OG0000019	n0													L63545.1_00068												MN803438.1_00051																			
N39.HOG0000019	OG0000020	n0													L63545.1_00030												MN803438.1_00070																			
N39.HOG0000020	OG0000021	n0													L63545.1_00110												MN803438.1_00046																			
N39.HOG0000021	OG0000022	n0													L63545.1_00054												MN803438.1_00077																			
N39.HOG0000022	OG0000023	n0													L63545.1_00056												MN803438.1_00071																			
N39.HOG0000023	OG0000024	n0													L63545.1_00002												MN803438.1_00126																			
N39.HOG0000024	OG0000026	n0													L63545.1_00058												MN803438.1_00037																			
N39.HOG0000025	OG0000027	n0													L63545.1_00003												MN803438.1_00054																			
N39.HOG0000026	OG0000028	n0																									MN803438.1_00145																			
N39.HOG0000027	OG0000120	n4													L63545.1_00047												MN803438.1_00094																			
N39.HOG0000028	OG0000120	n5													L63545.1_00050												MN803438.1_00125																			
